desc	dist_to_obj	dist_to_recep	dist_obj_to_recep	agent_facing	intent
take the red rag out of the far right cabinet before closing the door place the rag in the right-hand sink	0.28	0.45	0.01	0.64	10
turn around and face the cabinet below the sink and on the far right open the cabinet under the sink and on the far right and pick up the red cloth	2.0	-1	-1	-0.9717	3
turn around and face the cabinet below the sink and on the far right open the cabinet under the sink and on the far right and pick up the red cloth put the cloth in the sink	2.0	1.93	0.13	-0.9717	9
open the cabinet under the sink and on the far right and pick up the red cloth put the cloth in the sink	0.09	0.34	0.2	0.56	10
turn around and walk across the room to the sink on the right take the red cloth out of the right lower cabinet	2.0	-1	-1	-0.9717	3
turn around and walk across the room to the sink on the right take the red cloth out of the right lower cabinet put the cloth into the sink	2.0	1.93	0.13	-0.9717	9
take the red cloth out of the right lower cabinet put the cloth into the sink	0.11	0.19	0.01	0.81	10
move a rag from a cabinet to the sink	2.15	2.17	0.98	-0.2567	5
move a rag from a cabinet to the sink	2.15	2.15	0.07	-0.2567	9
move a rag from a cabinet to the sink	0.27	0.98	1.15	0.91	7
move a rag from a cabinet to the sink	0.36	0.16	0.35	0.86	10
put the red rag under the sink into the sink basin	2.15	2.17	0.98	-0.2567	5
put the red rag under the sink into the sink basin	2.15	2.15	0.49	-0.2567	9
put the red rag under the sink into the sink basin	0.11	0.98	0.9	0.02	14
put the red rag under the sink into the sink basin	0.47	0.25	0.02	-0.59	13
move a red rag into a sink	2.15	2.17	0.98	-0.2567	5
move a red rag into a sink	2.15	2.15	0.11	-0.2567	9
move a red rag into a sink	0.12	0.98	0.89	0.81	7
move a red rag into a sink	0.44	0.44	0.47	-0.21	13
turn around walk a few steps then turn right and walk over to the bathroom sinks	-1	-1	-1	-0.2567	0
open the left cabinet under the right sink and take out the red rag that is inside	0.13	5.91	7.47	0.62	1
move over to stand directly in front of the right hand sink	-1	-1	-1	1	0
put the red rag in the sink	7.98	0.33	6.97	0.59	2
turn around and cross the room to the sink on the right	-1	-1	-1	-0.2567	0
open the second cabinet from the right under the sink and get the red rag	0.16	7.3	3.05	-0.34	11
walk to the front of the sink on the right	-1	-1	-1	1	0
put the red rag in the right sink basin	1.51	0.02	-1	0.21	12
turn around and walk forward then hang a right and walk up to the counter and look down at the lower cabinets	-1	-1	-1	-0.2567	0
open the second cabinet door from the right and take out the red rag then close the door	0.02	-1	-1	-0.42	11
turn right and walk over to the wall then turn left to face the sink	-1	-1	-1	1	0
put the red rag in the rightmost sink basin	2.59	0.08	3.99	-0.26	12
turn around walk a few steps then turn right and walk over to the bathroom sinks open the left cabinet under the right sink and take out the red rag that is inside	2.15	-1	-1	-0.2567	3
turn around walk a few steps then turn right and walk over to the bathroom sinks open the left cabinet under the right sink and take out the red rag that is inside move over to stand directly in front of the right hand sink	2.15	-1	-1	-0.2567	4
turn around walk a few steps then turn right and walk over to the bathroom sinks open the left cabinet under the right sink and take out the red rag that is inside move over to stand directly in front of the right hand sink put the red rag in the sink	2.15	2.17	0.98	-0.2567	5
open the left cabinet under the right sink and take out the red rag that is inside move over to stand directly in front of the right hand sink	0.39	-1	-0.91	0.67	6
open the left cabinet under the right sink and take out the red rag that is inside move over to stand directly in front of the right hand sink put the red rag in the sink	0.39	0.98	0.83	0.56	7
move over to stand directly in front of the right hand sink put the red rag in the sink	0.0	1.12	-1	0.69	8
turn around and cross the room to the sink on the right open the second cabinet from the right under the sink and get the red rag	2.15	-1	-1	-0.2567	3
turn around and cross the room to the sink on the right open the second cabinet from the right under the sink and get the red rag walk to the front of the sink on the right	2.15	-1	-1	-0.2567	4
turn around and cross the room to the sink on the right open the second cabinet from the right under the sink and get the red rag walk to the front of the sink on the right put the red rag in the right sink basin	2.15	2.17	0.98	-0.2567	5
open the second cabinet from the right under the sink and get the red rag walk to the front of the sink on the right	0.32	-1	-1.09	0.21	15
open the second cabinet from the right under the sink and get the red rag walk to the front of the sink on the right put the red rag in the right sink basin	0.01	0.98	0.86	-0.85	14
walk to the front of the sink on the right put the red rag in the right sink basin	0.0	1.1	7.5	0.85	8
turn around and walk forward then hang a right and walk up to the counter and look down at the lower cabinets open the second cabinet door from the right and take out the red rag then close the door	2.15	-1	-1	-0.2567	3
turn around and walk forward then hang a right and walk up to the counter and look down at the lower cabinets open the second cabinet door from the right and take out the red rag then close the door turn right and walk over to the wall then turn left to face the sink	2.15	-1	-1	-0.2567	4
turn around and walk forward then hang a right and walk up to the counter and look down at the lower cabinets open the second cabinet door from the right and take out the red rag then close the door turn right and walk over to the wall then turn left to face the sink put the red rag in the rightmost sink basin	2.15	2.17	0.98	-0.2567	5
open the second cabinet door from the right and take out the red rag then close the door turn right and walk over to the wall then turn left to face the sink	0.21	-1	-1.0	0.7	6
open the second cabinet door from the right and take out the red rag then close the door turn right and walk over to the wall then turn left to face the sink put the red rag in the rightmost sink basin	0.01	0.98	0.78	-0.57	14
turn right and walk over to the wall then turn left to face the sink put the red rag in the rightmost sink basin	0.0	1.16	6.63	0.23	8
place a towel in a sink	2.16	2.29	0.97	-0.9627	5
place a towel in a sink	2.16	2.16	0.04	-0.9627	9
place a towel in a sink	0.22	0.97	0.98	-0.49	14
place a towel in a sink	0.05	0.37	0.46	0.5	10
put a wash cloth in the sink	2.16	2.29	0.97	-0.9627	5
put a wash cloth in the sink	2.16	2.16	0.35	-0.9627	9
put a wash cloth in the sink	0.49	0.97	1.01	-0.74	14
put a wash cloth in the sink	0.21	0.42	0.4	0.61	10
move the red rag from the inside the cabinet to the sink	2.16	2.29	0.97	-0.9627	5
move the red rag from the inside the cabinet to the sink	2.16	2.16	0.47	-0.9627	9
move the red rag from the inside the cabinet to the sink	0.18	0.97	1.11	-0.9	14
move the red rag from the inside the cabinet to the sink	0.42	0.22	0.24	0.14	13
turn left hang a left at the door and walk to the right sink of the vanity	-1	-1	-1	-0.9627	0
open the lower left cabinet under the right sink pick up the red towel inside and close the door	0.36	-1	5.87	-0.64	11
head right towards the wall and turn left at the wall to face the vanity sink	-1	-1	-1	1	0
put the red towel inside the sink of the vanity	-1	0.48	-1	0.23	12
turn left and take a step then turn left and walk to the sink	-1	-1	-1	-0.9627	0
open the sink under and to the left of the right hand sink and pick up the red wash cloth that's under there before closing the door	0.22	-1	7.16	0.68	1
take a step to your right	-1	-1	-1	1	0
put the red wash cloth in the sink	0.42	0.06	-1	0.11	12
turn left walk two steps toward the door then turn right and walk to the sink	-1	-1	-1	-0.9627	0
open the left cabinet drawer under the sink and pick up the red rag inside	0.07	7.48	-1	0.67	1
turn right in order to walk two steps forward and then face the sink	-1	-1	-1	1	0
put the red rag in the center of the sink	-1	0.34	-1	0.87	2
turn left hang a left at the door and walk to the right sink of the vanity open the lower left cabinet under the right sink pick up the red towel inside and close the door	2.16	-1	-1	-0.9627	3
turn left hang a left at the door and walk to the right sink of the vanity open the lower left cabinet under the right sink pick up the red towel inside and close the door head right towards the wall and turn left at the wall to face the vanity sink	2.16	-1	-1	-0.9627	4
turn left hang a left at the door and walk to the right sink of the vanity open the lower left cabinet under the right sink pick up the red towel inside and close the door head right towards the wall and turn left at the wall to face the vanity sink put the red towel inside the sink of the vanity	2.16	2.29	0.97	-0.9627	5
open the lower left cabinet under the right sink pick up the red towel inside and close the door head right towards the wall and turn left at the wall to face the vanity sink	0.09	-1	-0.93	0.63	6
open the lower left cabinet under the right sink pick up the red towel inside and close the door head right towards the wall and turn left at the wall to face the vanity sink put the red towel inside the sink of the vanity	0.09	0.97	1.06	-0.78	14
head right towards the wall and turn left at the wall to face the vanity sink put the red towel inside the sink of the vanity	0.0	1.05	-1	-0.22	8
turn left and take a step then turn left and walk to the sink open the sink under and to the left of the right hand sink and pick up the red wash cloth that's under there before closing the door	2.16	-1	-1	-0.9627	3
turn left and take a step then turn left and walk to the sink open the sink under and to the left of the right hand sink and pick up the red wash cloth that's under there before closing the door take a step to your right	2.16	-1	-1	-0.9627	4
turn left and take a step then turn left and walk to the sink open the sink under and to the left of the right hand sink and pick up the red wash cloth that's under there before closing the door take a step to your right put the red wash cloth in the sink	2.16	2.29	0.97	-0.9627	5
open the sink under and to the left of the right hand sink and pick up the red wash cloth that's under there before closing the door take a step to your right	0.16	-1	-0.98	0.82	6
open the sink under and to the left of the right hand sink and pick up the red wash cloth that's under there before closing the door take a step to your right put the red wash cloth in the sink	0.07	0.97	0.84	0.65	7
take a step to your right put the red wash cloth in the sink	0.0	0.93	0.32	-0.19	8
turn left walk two steps toward the door then turn right and walk to the sink open the left cabinet drawer under the sink and pick up the red rag inside	2.16	-1	-1	-0.9627	3
turn left walk two steps toward the door then turn right and walk to the sink open the left cabinet drawer under the sink and pick up the red rag inside turn right in order to walk two steps forward and then face the sink	2.16	-1	-1	-0.9627	4
turn left walk two steps toward the door then turn right and walk to the sink open the left cabinet drawer under the sink and pick up the red rag inside turn right in order to walk two steps forward and then face the sink put the red rag in the center of the sink	2.16	2.29	0.97	-0.9627	5
open the left cabinet drawer under the sink and pick up the red rag inside turn right in order to walk two steps forward and then face the sink	0.45	-1	-0.9	0.96	6
open the left cabinet drawer under the sink and pick up the red rag inside turn right in order to walk two steps forward and then face the sink put the red rag in the center of the sink	0.33	0.97	0.87	0.13	14
turn right in order to walk two steps forward and then face the sink put the red rag in the center of the sink	0.0	0.89	1.49	0.88	8
put a rag on the toilet tank lid	1.89	1.4	1.71	-0.9942	5
put a rag on the toilet tank lid	1.89	1.89	0.02	-0.9942	9
put a rag on the toilet tank lid	0.33	1.71	1.66	0.58	7
put a rag on the toilet tank lid	0.44	0.47	0.03	0.6	10
place a towel on the back of a toilet	1.89	1.4	1.71	-0.9942	5
place a towel on the back of a toilet	1.89	1.89	0.48	-0.9942	9
place a towel on the back of a toilet	0.12	1.71	1.67	0.69	7
place a towel on the back of a toilet	0.18	0.35	0.37	-0.7	13
move rag from tub to back of toilet	1.89	1.4	1.71	-0.9942	5
move rag from tub to back of toilet	1.89	1.89	0.21	-0.9942	9
move rag from tub to back of toilet	0.38	1.71	1.68	0.24	14
move rag from tub to back of toilet	0.27	0.19	0.47	0.49	13
turn around move to the tub	-1	-1	-1	-0.9942	0
pick up the rag on the right side of the tub	0.04	-1	-1	-0.22	11
bring the rag to the toilet on your left	-1	1.71	-1	1	0
put the rag on the toilet tank lid	4.67	0.16	-1	0.48	12
turn around and walk to the bathtub	-1	-1	-1	-0.9942	0
pick up the purple towel that is on the very right	0.31	4.82	-1	-0.47	11
turn around to face the side of the toilet	-1	1.71	-1	1	0
place the purple towel on the back of the toilet	2.95	0.22	7.2	0.81	2
turn around walk to tub	-1	-1	-1	-0.9942	0
pick up the purple rag that is in tub	0.42	0.28	-1	0.53	1
turn left walk forward turn left to face toilet	-1	1.71	-1	1	0
put the rag on the back of the toilet	-1	0.25	-1	0.82	2
turn around move to the tub pick up the rag on the right side of the tub	1.89	-1	-1	-0.9942	3
turn around move to the tub pick up the rag on the right side of the tub bring the rag to the toilet on your left	1.89	1.4	1.71	-0.9942	4
turn around move to the tub pick up the rag on the right side of the tub bring the rag to the toilet on your left put the rag on the toilet tank lid	1.89	1.4	1.71	-0.9942	5
pick up the rag on the right side of the tub bring the rag to the toilet on your left	0.15	1.71	1.79	0.7	6
pick up the rag on the right side of the tub bring the rag to the toilet on your left put the rag on the toilet tank lid	0.12	1.71	1.55	1.0	7
bring the rag to the toilet on your left put the rag on the toilet tank lid	0.0	1.55	5.44	-0.37	8
turn around and walk to the bathtub pick up the purple towel that is on the very right	1.89	-1	-1	-0.9942	3
turn around and walk to the bathtub pick up the purple towel that is on the very right turn around to face the side of the toilet	1.89	1.4	1.71	-0.9942	4
turn around and walk to the bathtub pick up the purple towel that is on the very right turn around to face the side of the toilet place the purple towel on the back of the toilet	1.89	1.4	1.71	-0.9942	5
pick up the purple towel that is on the very right turn around to face the side of the toilet	0.33	1.71	1.88	0.86	6
pick up the purple towel that is on the very right turn around to face the side of the toilet place the purple towel on the back of the toilet	0.48	1.71	1.67	0.67	7
turn around to face the side of the toilet place the purple towel on the back of the toilet	0.0	1.68	-1	0.28	8
turn around walk to tub pick up the purple rag that is in tub	1.89	-1	-1	-0.9942	3
turn around walk to tub pick up the purple rag that is in tub turn left walk forward turn left to face toilet	1.89	1.4	1.71	-0.9942	4
turn around walk to tub pick up the purple rag that is in tub turn left walk forward turn left to face toilet put the rag on the back of the toilet	1.89	1.4	1.71	-0.9942	5
pick up the purple rag that is in tub turn left walk forward turn left to face toilet	0.47	1.71	1.62	0.64	6
pick up the purple rag that is in tub turn left walk forward turn left to face toilet put the rag on the back of the toilet	0.15	1.71	1.55	-0.58	14
turn left walk forward turn left to face toilet put the rag on the back of the toilet	0.0	1.55	4.03	0.26	8
put a cloth on the back of a toilet	2.94	1.83	1.6	-0.2207	5
put a cloth on the back of a toilet	2.94	2.94	0.49	-0.2207	9
put a cloth on the back of a toilet	0.19	1.6	1.53	0.95	7
put a cloth on the back of a toilet	0.1	0.23	0.25	-0.43	13
put a rag on the back of the toilet	2.94	1.83	1.6	-0.2207	5
put a rag on the back of the toilet	2.94	2.94	0.29	-0.2207	9
put a rag on the back of the toilet	0.2	1.6	1.75	0.71	7
put a rag on the back of the toilet	0.36	0.43	0.11	0.79	10
put the rag on the toilet	2.94	1.83	1.6	-0.2207	5
put the rag on the toilet	2.94	2.94	0.1	-0.2207	9
put the rag on the toilet	0.42	1.6	1.45	-0.93	14
put the rag on the toilet	0.34	0.05	0.2	-0.05	13
cross the room to the left and stand in front of the tub	-1	-1	-1	-0.2207	0
pick the purple cloth up that is second from the left in the tub	0.11	-1	4.44	0.75	1
turn around and face the toilet	-1	1.6	-1	1	0
put the cloth on the back of the toilet	3.91	0.26	2.42	0.94	2
turn left and go forward to the tub	-1	-1	-1	-0.2207	0
pick up the rag from the tub the one second to the right	0.42	-1	6.69	-0.51	11
turn left and go forward to the wall then turn left to face the toilet	-1	1.6	-1	1	0
put the rag on the back of the toilet	6.96	0.49	-1	-0.19	12
head over to the tub	-1	-1	-1	-0.2207	0
grab a rag	0.01	-1	-1	0.6	1
head over to the toilet	-1	1.6	-1	1	0
put the rag on the toilet	-1	0.02	-1	0.84	2
cross the room to the left and stand in front of the tub pick the purple cloth up that is second from the left in the tub	2.94	-1	-1	-0.2207	3
cross the room to the left and stand in front of the tub pick the purple cloth up that is second from the left in the tub turn around and face the toilet	2.94	1.83	1.6	-0.2207	4
cross the room to the left and stand in front of the tub pick the purple cloth up that is second from the left in the tub turn around and face the toilet put the cloth on the back of the toilet	2.94	1.83	1.6	-0.2207	5
pick the purple cloth up that is second from the left in the tub turn around and face the toilet	0.28	1.6	1.72	0.85	6
pick the purple cloth up that is second from the left in the tub turn around and face the toilet put the cloth on the back of the toilet	0.17	1.6	1.55	0.92	7
turn around and face the toilet put the cloth on the back of the toilet	0.0	1.5	2.67	-0.77	8
turn left and go forward to the tub pick up the rag from the tub the one second to the right	2.94	-1	-1	-0.2207	3
turn left and go forward to the tub pick up the rag from the tub the one second to the right turn left and go forward to the wall then turn left to face the toilet	2.94	1.83	1.6	-0.2207	4
turn left and go forward to the tub pick up the rag from the tub the one second to the right turn left and go forward to the wall then turn left to face the toilet put the rag on the back of the toilet	2.94	1.83	1.6	-0.2207	5
pick up the rag from the tub the one second to the right turn left and go forward to the wall then turn left to face the toilet	0.39	1.6	1.61	0.95	6
pick up the rag from the tub the one second to the right turn left and go forward to the wall then turn left to face the toilet put the rag on the back of the toilet	0.18	1.6	1.7	0.79	7
turn left and go forward to the wall then turn left to face the toilet put the rag on the back of the toilet	0.0	1.62	-1	-0.44	8
head over to the tub grab a rag	2.94	-1	-1	-0.2207	3
head over to the tub grab a rag head over to the toilet	2.94	1.83	1.6	-0.2207	4
head over to the tub grab a rag head over to the toilet put the rag on the toilet	2.94	1.83	1.6	-0.2207	5
grab a rag head over to the toilet	0.02	1.6	1.75	0.97	6
grab a rag head over to the toilet put the rag on the toilet	0.49	1.6	1.62	-0.73	14
head over to the toilet put the rag on the toilet	0.0	1.64	2.85	0.21	8
put the cloth on top of toilet tank	2.51	3.41	3.02	0.8522	5
put the cloth on top of toilet tank	2.51	2.51	0.48	0.8522	9
put the cloth on top of toilet tank	0.42	3.02	2.88	-0.77	14
put the cloth on top of toilet tank	0.23	0.36	0.18	-0.31	13
move a red towel to the toilet tank	2.51	3.41	3.02	0.8522	5
move a red towel to the toilet tank	2.51	2.51	0.07	0.8522	9
move a red towel to the toilet tank	0.36	3.02	2.98	0.62	7
move a red towel to the toilet tank	0.42	0.3	0.25	0.37	13
put a wash cloth on the toilet	2.51	3.41	3.02	0.8522	5
put a wash cloth on the toilet	2.51	2.51	0.44	0.8522	9
put a wash cloth on the toilet	0.11	3.02	2.89	0.76	7
put a wash cloth on the toilet	0.33	0.27	0.04	-0.36	13
turn left then walk to the cabinet under the left side of the sink	-1	-1	-1	0.8522	0
open the second cabinet and pick up the red cloth	0.27	7.84	3.43	0.53	1
turn around to your left and walk straight to the toilet tank	-1	3.02	-1	1	0
put the red cloth on the tank beside the spray bottle	-1	0.12	1.07	0.75	2
move to the sink counter top on the right side of the room	-1	-1	-1	0.8522	0
open the second sink cupboard form the left remove the red towel inside then shut the cupboard	0.36	-1	2.54	-0.2	11
carry the red towel over to the toilet on the far left corner of the room	-1	3.02	-1	1	0
place the red towel on top of the back of the toilet tank to the left of the purple spray bottle	6.97	0.48	-1	-0.76	12
walk to stand in front of the left sink that's to your left	-1	-1	-1	0.8522	0
open the cabinet that's under the right side of the left sink then pick up the red cloth before you close the door	0.22	-1	1.91	-0.26	11
turn around and walk to the wall then turn right and walk to the toilet	-1	3.02	-1	1	0
put the cloth to the left of the purple spray bottle	-1	0.44	0.79	0.34	12
turn left then walk to the cabinet under the left side of the sink open the second cabinet and pick up the red cloth	2.51	-1	-1	0.8522	3
turn left then walk to the cabinet under the left side of the sink open the second cabinet and pick up the red cloth turn around to your left and walk straight to the toilet tank	2.51	3.41	3.02	0.8522	4
turn left then walk to the cabinet under the left side of the sink open the second cabinet and pick up the red cloth turn around to your left and walk straight to the toilet tank put the red cloth on the tank beside the spray bottle	2.51	3.41	3.02	0.8522	5
open the second cabinet and pick up the red cloth turn around to your left and walk straight to the toilet tank	0.34	3.02	3.2	0.54	6
open the second cabinet and pick up the red cloth turn around to your left and walk straight to the toilet tank put the red cloth on the tank beside the spray bottle	0.36	3.02	3.19	0.72	7
turn around to your left and walk straight to the toilet tank put the red cloth on the tank beside the spray bottle	0.0	3.09	-1	-0.14	8
move to the sink counter top on the right side of the room open the second sink cupboard form the left remove the red towel inside then shut the cupboard	2.51	-1	-1	0.8522	3
move to the sink counter top on the right side of the room open the second sink cupboard form the left remove the red towel inside then shut the cupboard carry the red towel over to the toilet on the far left corner of the room	2.51	3.41	3.02	0.8522	4
move to the sink counter top on the right side of the room open the second sink cupboard form the left remove the red towel inside then shut the cupboard carry the red towel over to the toilet on the far left corner of the room place the red towel on top of the back of the toilet tank to the left of the purple spray bottle	2.51	3.41	3.02	0.8522	5
open the second sink cupboard form the left remove the red towel inside then shut the cupboard carry the red towel over to the toilet on the far left corner of the room	0.35	3.02	2.89	0.25	15
open the second sink cupboard form the left remove the red towel inside then shut the cupboard carry the red towel over to the toilet on the far left corner of the room place the red towel on top of the back of the toilet tank to the left of the purple spray bottle	0.37	3.02	2.95	0.92	7
carry the red towel over to the toilet on the far left corner of the room place the red towel on top of the back of the toilet tank to the left of the purple spray bottle	0.0	3.07	-1	-0.34	8
walk to stand in front of the left sink that's to your left open the cabinet that's under the right side of the left sink then pick up the red cloth before you close the door	2.51	-1	-1	0.8522	3
walk to stand in front of the left sink that's to your left open the cabinet that's under the right side of the left sink then pick up the red cloth before you close the door turn around and walk to the wall then turn right and walk to the toilet	2.51	3.41	3.02	0.8522	4
walk to stand in front of the left sink that's to your left open the cabinet that's under the right side of the left sink then pick up the red cloth before you close the door turn around and walk to the wall then turn right and walk to the toilet put the cloth to the left of the purple spray bottle	2.51	3.41	3.02	0.8522	5
open the cabinet that's under the right side of the left sink then pick up the red cloth before you close the door turn around and walk to the wall then turn right and walk to the toilet	0.28	3.02	3.01	0.84	6
open the cabinet that's under the right side of the left sink then pick up the red cloth before you close the door turn around and walk to the wall then turn right and walk to the toilet put the cloth to the left of the purple spray bottle	0.46	3.02	2.93	-0.95	14
turn around and walk to the wall then turn right and walk to the toilet put the cloth to the left of the purple spray bottle	0.0	3.19	-1	-0.22	8
place a towel on a toilet tank	2.61	2.7	2.91	0.2178	5
place a towel on a toilet tank	2.61	2.61	0.36	0.2178	9
place a towel on a toilet tank	0.08	2.91	3.07	0.91	7
place a towel on a toilet tank	0.06	0.33	0.12	-0.57	13
place a wash cloth above the toilet	2.61	2.7	2.91	0.2178	5
place a wash cloth above the toilet	2.61	2.61	0.11	0.2178	9
place a wash cloth above the toilet	0.27	2.91	3.07	-0.09	14
place a wash cloth above the toilet	0.27	0.49	0.36	0.31	13
place a red rag on the toilet tank	2.61	2.7	2.91	0.2178	5
place a red rag on the toilet tank	2.61	2.61	0.21	0.2178	9
place a red rag on the toilet tank	0.21	2.91	3.1	0.87	7
place a red rag on the toilet tank	0.39	0.27	0.12	0.9	10
head right to the black vanity with sinks	-1	-1	-1	0.2178	0
open the lower right cabinet under the left sink pick up the red towel from inside and close the door	0.13	-1	2.3	0.56	1
turn around and walk to the white toilet on the right	-1	2.91	-1	1	0
put the red towel on the left side of the toilet tank	2.77	0.11	-1	0.4	12
turn right and walk over to the bathroom sink	-1	-1	-1	0.2178	0
grab a wash cloth out from the bottom left cabinet	0.09	7.72	-1	-0.08	11
turn around and walk back over to the toilet on the right side corner of the room	-1	2.91	-1	1	0
place the wash cloth above the toilet	-1	0.13	1.71	0.58	2
take a few steps forward and turn to the right and go to the sink	-1	-1	-1	0.2178	0
open the bottom right sink cabinet door and take out the red rag from the cabinet	0.42	-1	6.38	0.47	11
turn to the left twice and go to the wall and turn to the right and go to the toilet	-1	2.91	-1	1	0
put the rag on the toilet tank	2.35	0.33	6.35	0.21	12
head right to the black vanity with sinks open the lower right cabinet under the left sink pick up the red towel from inside and close the door	2.61	-1	-1	0.2178	3
head right to the black vanity with sinks open the lower right cabinet under the left sink pick up the red towel from inside and close the door turn around and walk to the white toilet on the right	2.61	2.7	2.91	0.2178	4
head right to the black vanity with sinks open the lower right cabinet under the left sink pick up the red towel from inside and close the door turn around and walk to the white toilet on the right put the red towel on the left side of the toilet tank	2.61	2.7	2.91	0.2178	5
open the lower right cabinet under the left sink pick up the red towel from inside and close the door turn around and walk to the white toilet on the right	0.0	2.91	3.0	0.53	6
open the lower right cabinet under the left sink pick up the red towel from inside and close the door turn around and walk to the white toilet on the right put the red towel on the left side of the toilet tank	0.12	2.91	2.77	0.9	7
turn around and walk to the white toilet on the right put the red towel on the left side of the toilet tank	0.0	3.01	-1	0.51	8
turn right and walk over to the bathroom sink grab a wash cloth out from the bottom left cabinet	2.61	-1	-1	0.2178	3
turn right and walk over to the bathroom sink grab a wash cloth out from the bottom left cabinet turn around and walk back over to the toilet on the right side corner of the room	2.61	2.7	2.91	0.2178	4
turn right and walk over to the bathroom sink grab a wash cloth out from the bottom left cabinet turn around and walk back over to the toilet on the right side corner of the room place the wash cloth above the toilet	2.61	2.7	2.91	0.2178	5
grab a wash cloth out from the bottom left cabinet turn around and walk back over to the toilet on the right side corner of the room	0.2	2.91	2.99	-0.07	15
grab a wash cloth out from the bottom left cabinet turn around and walk back over to the toilet on the right side corner of the room place the wash cloth above the toilet	0.21	2.91	3.03	0.68	7
turn around and walk back over to the toilet on the right side corner of the room place the wash cloth above the toilet	0.0	2.92	2.71	-0.91	8
take a few steps forward and turn to the right and go to the sink open the bottom right sink cabinet door and take out the red rag from the cabinet	2.61	-1	-1	0.2178	3
take a few steps forward and turn to the right and go to the sink open the bottom right sink cabinet door and take out the red rag from the cabinet turn to the left twice and go to the wall and turn to the right and go to the toilet	2.61	2.7	2.91	0.2178	4
take a few steps forward and turn to the right and go to the sink open the bottom right sink cabinet door and take out the red rag from the cabinet turn to the left twice and go to the wall and turn to the right and go to the toilet put the rag on the toilet tank	2.61	2.7	2.91	0.2178	5
open the bottom right sink cabinet door and take out the red rag from the cabinet turn to the left twice and go to the wall and turn to the right and go to the toilet	0.49	2.91	2.91	0.87	6
open the bottom right sink cabinet door and take out the red rag from the cabinet turn to the left twice and go to the wall and turn to the right and go to the toilet put the rag on the toilet tank	0.16	2.91	2.98	0.73	7
turn to the left twice and go to the wall and turn to the right and go to the toilet put the rag on the toilet tank	0.0	3.09	-1	0.14	8
move a rag to the back of the toilet	2.24	1.58	2.98	0.3887	5
move a rag to the back of the toilet	2.24	2.24	0.28	0.3887	9
move a rag to the back of the toilet	0.3	2.98	3.06	-0.85	14
move a rag to the back of the toilet	0.37	0.01	0.27	0.65	10
move a wash cloth to the back end of a toilet seat	2.24	1.58	2.98	0.3887	5
move a wash cloth to the back end of a toilet seat	2.24	2.24	0.29	0.3887	9
move a wash cloth to the back end of a toilet seat	0.33	2.98	3.09	0.4	14
move a wash cloth to the back end of a toilet seat	0.19	0.3	0.44	0.36	13
put a cloth on the back of the toilet	2.24	1.58	2.98	0.3887	5
put a cloth on the back of the toilet	2.24	2.24	0.42	0.3887	9
put a cloth on the back of the toilet	0.04	2.98	2.89	0.58	7
put a cloth on the back of the toilet	0.42	0.36	0.39	0.82	10
walk forward a few steps then turn left and walk up to the left-hand sink	-1	-1	-1	0.3887	0
open the right-hand side cabinet take out the red rag that is in the cabinet and close the door	0.41	-1	-1	0.17	11
turn around completely walk to the wall then turn right and walk up to the toilet	-1	2.98	-1	1	0
place the rag on the back of the toilet to the left of the purple spray bottle	-1	0.26	-1	1.0	2
turn to the right and walk forward to the sinks	-1	-1	-1	0.3887	0
open the cabinet under the sink and take out a red wash cloth	0.3	-1	5.1	0.34	11
turn around completely and walk forward turn right and head to the toilet	-1	2.98	-1	1	0
place the wash cloth on the back end of the toilet seat	-1	0.22	5.21	0.72	2
turn to the left and move to the counter between the two sinks	-1	-1	-1	0.3887	0
open the right cabinet door underneath the sink on the left pick up the red cloth from the cabinet and close the door	0.0	7.96	0.13	0.1	11
turn around and move across the room and turn right to move to the toilet	-1	2.98	-1	1	0
put the cloth on to the back of the toilet to the left of the spray bottle	-1	0.32	-1	0.51	2
walk forward a few steps then turn left and walk up to the left-hand sink open the right-hand side cabinet take out the red rag that is in the cabinet and close the door	2.24	-1	-1	0.3887	3
walk forward a few steps then turn left and walk up to the left-hand sink open the right-hand side cabinet take out the red rag that is in the cabinet and close the door turn around completely walk to the wall then turn right and walk up to the toilet	2.24	1.58	2.98	0.3887	4
walk forward a few steps then turn left and walk up to the left-hand sink open the right-hand side cabinet take out the red rag that is in the cabinet and close the door turn around completely walk to the wall then turn right and walk up to the toilet place the rag on the back of the toilet to the left of the purple spray bottle	2.24	1.58	2.98	0.3887	5
open the right-hand side cabinet take out the red rag that is in the cabinet and close the door turn around completely walk to the wall then turn right and walk up to the toilet	0.13	2.98	3.16	0.92	6
open the right-hand side cabinet take out the red rag that is in the cabinet and close the door turn around completely walk to the wall then turn right and walk up to the toilet place the rag on the back of the toilet to the left of the purple spray bottle	0.48	2.98	2.97	0.6	7
turn around completely walk to the wall then turn right and walk up to the toilet place the rag on the back of the toilet to the left of the purple spray bottle	0.0	2.83	-1	-0.72	8
turn to the right and walk forward to the sinks open the cabinet under the sink and take out a red wash cloth	2.24	-1	-1	0.3887	3
turn to the right and walk forward to the sinks open the cabinet under the sink and take out a red wash cloth turn around completely and walk forward turn right and head to the toilet	2.24	1.58	2.98	0.3887	4
turn to the right and walk forward to the sinks open the cabinet under the sink and take out a red wash cloth turn around completely and walk forward turn right and head to the toilet place the wash cloth on the back end of the toilet seat	2.24	1.58	2.98	0.3887	5
